complaint_id,product,issue,company,state,city,zip_code,status,date_received,date_sent_to_company,response_time_days,timely_response?,consumer_disputed?,company_response_to_consumer
100048,Student  Loan,Incorrect Information,Finserv Co,Nc,Los Angeles,40420.0,Open,2023-10-13,2023-11-30,48,TRUE,Yes,
100049,Student Loan,Fees,Northstar Finance,Fl,Miami,77927.0,,2023-09-29,2023-11-23,55,No,Y,
100050,Mortgage,Incorrect Information,United Credit,Nc,,,Closed,2023-08-25,2023-09-16,22,Y,Y,Closed
100051,Credit Card,Incorrect Information,United Credit,Mi,Detroit,67642.0,In Progress,2024-02-08,2024-02-28,20,,,In progress
100052,Nan,Identity Theft,,Mi,Los Angeles,62520.0,Closed,2023-05-14,2023-05-29,15,TRUE,N,Closed with explanation
100053,Debt  Collection,Nan,Acme Bank,Pa,Houston,93056.0,,2024-04-21,2024-05-01,10,Yes,Y,
100054,Credit Card,Billing Disputes,Finserv Co,Nan,Philadelphia,33013.0,Resolved,2023-06-15,2023-07-28,43,Y,FALSE,
100055,Credit Reporting,Nan,,Nan,Philadelphia,98413.0,Open,2023-09-30,2023-11-10,41,,N,Closed with explanation
100056,Credit Reporting,Collection Harassment,Metro Loans,Il,Miami,28577.0,In Progress,2023-09-18,2023-11-04,47,No,No,Closed
100057,Debt Collection,Collection Harassment,Nan,Nan,Philadelphia,22440.0,,2024-02-29,2024-03-05,5,,Y,Closed
100058,Student Loan,Incorrect Information,Finserv Co,Nan,Los Angeles,84371.0,,2023-08-08,2023-09-03,26,Y,No,
100059,,Billing Disputes,,,Miami,90635.0,,2023-05-23,2023-06-01,9,FALSE,FALSE,
100060,Credit Card,Incorrect Information,Northstar Finance,Nan,Detroit,18345.0,Open,2023-01-11,2023-03-05,53,N,,Closed
100061,Mortgage,Other,Acme Bank,Nan,,,,2023-07-01,2023-07-13,12,FALSE,,Closed with explanation
100062,Bank Account,Identity Theft,Nan,,Charlotte,56153.0,Resolved,2024-02-18,2024-02-22,4,,N,In progress
100063,Credit Card,Incorrect Information,Northstar Finance,Il,Los Angeles,29809.0,,2023-01-05,2023-02-06,32,No,N,
100064,Credit Card,Fees,Acme Bank,Nan,Los Angeles,,In Progress,2024-03-24,2024-05-15,52,Y,Yes,Closed with explanation
100065,Bank Account,Identity Theft,Finserv Co,Tx,New York,71719.0,Resolved,2023-09-29,2023-11-22,54,TRUE,Y,In progress
100066,Student Loan,Incorrect Information,Metro Loans,Pa,Nan,61671.0,Closed,2023-03-12,2023-03-13,1,Y,Yes,
100067,Student Loan,,Nan,,Nan,56777.0,Resolved,2023-06-01,2023-06-17,16,N,FALSE,
100068,Student  Loan,Incorrect Information,Northstar Finance,Fl,Detroit,89707.0,Closed,2023-10-05,2023-10-09,4,,,Closed
100069,Student  Loan,Collection Harassment,Acme Bank,,,30297.0,In Progress,2023-06-07,2023-06-22,15,No,No,Closed
100070,Bank Account,Fees,Acme Bank,Pa,Miami,66151.0,In Progress,2023-02-24,2023-03-25,29,No,FALSE,In progress
100071,Debt  Collection,Billing Disputes,United Credit,Tx,Houston,,,2023-11-29,2023-12-12,13,TRUE,TRUE,Closed
100072,Credit Reporting,Billing Disputes,Acme Bank,Ca,Los Angeles,97626.0,Resolved,2023-12-03,2023-12-02,-1,Yes,N,
100073,Credit Card,Other,United Credit,Oh,Nan,88420.0,Closed,2023-05-21,2023-05-19,-2,,FALSE,Closed
100075,Student Loan,Billing Disputes,Metro Loans,Ga,Nan,66890.0,In Progress,2023-05-02,2023-05-11,9,Y,Y,In progress
100076,Mortgage,Billing Disputes,Nan,Ny,Nan,,In Progress,2023-11-26,2023-11-21,-5,Yes,,
100077,Credit Reporting,Collection Harassment,United Credit,Fl,Atlanta,,,2024-01-01,2024-01-01,0,FALSE,FALSE,
100078,Debt Collection,Incorrect Information,Metro Loans,Ny,Chicago,,Closed,2023-12-30,2024-01-22,23,N,Y,Closed
100079,,Identity Theft,Acme Bank,Il,Houston,,Open,2024-04-14,2024-06-03,50,N,FALSE,Closed
100080,Credit Card,Identity Theft,United Credit,,Houston,41029.0,Resolved,2024-01-20,2024-03-05,45,N,FALSE,
100081,Bank Account,Fees,Finserv Co,Tx,,,,2023-06-10,2023-06-11,1,No,Yes,
100082,Debt Collection,Nan,Finserv Co,Mi,Nan,45235.0,,2023-02-23,2023-02-20,-3,,No,Closed
100083,Mortgage,Identity Theft,Finserv Co,Ga,Atlanta,,In Progress,2024-04-03,2024-05-10,37,N,Yes,
100085,Credit Reporting,Fees,Metro Loans,Nan,Houston,,Closed,2024-05-02,2024-06-14,43,Y,N,In progress
100086,Debt Collection,Other,Acme Bank,Il,Detroit,30925.0,Resolved,2023-04-26,2023-06-13,48,FALSE,N,
100087,Credit Reporting,Identity Theft,Finserv Co,Tx,Columbus,37613.0,Open,2023-04-29,2023-05-16,17,TRUE,,
100088,,Incorrect Information,United Credit,Ga,Miami,30010.0,,2023-01-19,2023-01-24,5,N,No,
100089,Credit Card,Billing Disputes,Nan,Fl,New York,,,2023-03-12,2023-03-08,-4,TRUE,TRUE,
100090,Credit Reporting,Fees,Nan,Nan,,44324.0,Resolved,2023-10-05,2023-10-09,4,No,FALSE,
100091,Credit  Card,Billing Disputes,United Credit,,New York,46438.0,Closed,2023-10-01,2023-09-30,-1,No,N,
100092,Mortgage,Identity Theft,,Mi,Columbus,70481.0,Closed,2023-07-05,2023-08-24,50,,,Closed
100093,Credit Reporting,Collection Harassment,Metro Loans,Nc,Philadelphia,,,2023-06-04,2023-06-16,12,TRUE,Y,
100094,Nan,Billing Disputes,United Credit,Nc,Los Angeles,,Open,2024-02-19,2024-04-07,48,FALSE,N,Closed with explanation
100095,Credit Reporting,Other,United Credit,Nan,New York,,Open,2023-08-19,2023-09-18,30,,Yes,Closed
100096,Debt Collection,Incorrect Information,,Oh,Chicago,97849.0,In Progress,2024-02-09,2024-03-10,30,,N,Closed with explanation
100097,Student Loan,Incorrect Information,Northstar Finance,,Atlanta,90984.0,Closed,2024-04-26,2024-05-20,24,TRUE,Yes,Closed with explanation
100098,Mortgage,Fees,Acme Bank,Il,Charlotte,28217.0,,2023-06-08,2023-07-26,48,,,
100099,Student Loan,Fees,Finserv Co,Ny,Atlanta,24402.0,Open,2023-04-12,2023-04-09,-3,TRUE,No,Closed with explanation
100100,Debt  Collection,Incorrect Information,,Mi,New York,45356.0,,2024-04-21,2024-04-22,1,No,,Closed
100101,Credit Card,Other,Nan,Mi,Houston,85182.0,,2023-11-14,2023-12-06,22,TRUE,Yes,In progress
100102,Nan,Other,,,Charlotte,,Closed,2023-05-26,2023-06-15,20,,Y,
100103,Debt Collection,Identity Theft,,Pa,Miami,73235.0,Resolved,2023-11-07,2023-12-07,30,,Yes,
100104,Mortgage,Collection Harassment,Nan,Pa,Charlotte,,,2023-09-15,2023-10-27,42,TRUE,Y,
100105,Debt Collection,Identity Theft,Nan,Ga,Houston,31032.0,,2024-03-28,2024-04-30,33,,TRUE,Closed with explanation
100106,Debt  Collection,,,Pa,Los Angeles,63304.0,,2023-05-08,2023-05-19,11,No,N,Closed with explanation
100107,Credit Card,Identity Theft,Finserv Co,Nan,Chicago,26588.0,,2024-05-10,2024-05-26,16,Yes,TRUE,In progress
100108,Credit Card,Identity Theft,Acme Bank,Pa,New York,58567.0,Open,2024-04-13,2024-05-26,43,N,,Closed
100109,Student Loan,Collection Harassment,,Nan,Nan,27437.0,Resolved,2023-04-01,2023-04-09,8,No,Yes,Closed with explanation
100110,Mortgage,Collection Harassment,Northstar Finance,Pa,Philadelphia,,,2023-03-24,2023-04-20,27,,N,
100111,Bank Account,Billing Disputes,Finserv Co,Fl,Houston,97055.0,Closed,2023-09-24,2023-10-24,30,Yes,TRUE,In progress
100112,Bank Account,Fees,Acme Bank,,New York,,Closed,2023-01-23,2023-03-07,43,TRUE,TRUE,In progress
100113,Bank Account,Incorrect Information,Northstar Finance,Ga,Philadelphia,71678.0,Open,2023-05-30,2023-07-10,41,,No,Closed with explanation
100114,Debt Collection,Fees,Northstar Finance,Mi,Los Angeles,66294.0,,2023-08-06,2023-08-31,25,Yes,No,In progress
100115,Debt  Collection,Fees,,Nc,,31599.0,,2024-04-29,2024-05-14,15,Yes,N,In progress
100116,Student  Loan,Other,Acme Bank,Pa,Nan,61449.0,Open,2024-05-11,2024-05-29,18,TRUE,FALSE,Closed
100117,Credit Reporting,Other,Acme Bank,,Nan,77326.0,Closed,2023-03-17,2023-04-07,21,,,
100118,Mortgage,Fees,Metro Loans,Pa,,58554.0,In Progress,2024-03-21,2024-03-30,9,Yes,Y,
100119,Bank Account,Collection Harassment,Finserv Co,,Detroit,,,2023-02-15,2023-03-22,35,Yes,TRUE,
100120,Credit Reporting,Other,Metro Loans,Oh,Philadelphia,45271.0,,2024-01-10,2024-01-18,8,,Y,
100121,Student Loan,Collection Harassment,Nan,Ny,Miami,32919.0,,2024-03-21,2024-05-03,43,FALSE,N,Closed with explanation
100123,Debt  Collection,Collection Harassment,Metro Loans,,Nan,96525.0,Resolved,2023-04-22,2023-06-18,57,Y,Y,In progress
100124,Credit Reporting,Billing Disputes,United Credit,Ga,Columbus,77978.0,Closed,2024-03-22,2024-03-24,2,Y,No,Closed with explanation
100125,Bank Account,Other,Nan,Pa,Columbus,90120.0,Resolved,2023-02-27,2023-04-12,44,N,FALSE,
100126,Student  Loan,Collection Harassment,Acme Bank,,Los Angeles,55860.0,In Progress,2023-09-17,2023-09-17,0,No,Y,
100127,Credit  Card,Incorrect Information,Northstar Finance,Nc,Philadelphia,30136.0,,2023-08-23,2023-09-08,16,N,No,
100128,Credit Card,Incorrect Information,Nan,Mi,Philadelphia,13054.0,In Progress,2023-06-07,2023-06-13,6,,N,Closed with explanation
100129,Bank Account,Other,Acme Bank,Tx,Los Angeles,45918.0,Closed,2024-01-22,2024-01-28,6,,FALSE,
100131,Nan,Other,Acme Bank,Ca,New York,20231.0,,2023-06-17,2023-06-14,-3,N,N,Closed with explanation
100132,Credit  Card,Collection Harassment,Finserv Co,Nan,Columbus,93573.0,In Progress,2023-11-27,2024-01-14,48,,,
100133,Mortgage,Fees,United Credit,Ny,Nan,,In Progress,2023-07-25,2023-07-23,-2,N,Yes,Closed
100134,Student  Loan,Billing Disputes,Acme Bank,Nan,Miami,43650.0,,2023-07-06,2023-07-26,20,TRUE,Y,
100135,Mortgage,Other,,Ca,New York,,In Progress,2024-03-19,2024-04-28,40,FALSE,TRUE,
100136,Bank Account,Billing Disputes,Metro Loans,Fl,Philadelphia,47190.0,Open,2023-02-17,2023-04-17,59,,N,
100137,Mortgage,Identity Theft,Nan,Mi,Miami,54712.0,In Progress,2024-01-04,2024-02-23,50,,FALSE,
100138,Mortgage,Billing Disputes,Nan,Nc,Houston,66155.0,,2024-01-09,2024-01-12,3,Yes,FALSE,
100139,Credit  Card,Other,United Credit,Nan,Detroit,47478.0,,2023-07-09,2023-09-06,59,,N,Closed
100140,Credit Reporting,Incorrect Information,Nan,Nc,New York,82149.0,Resolved,2023-05-12,2023-06-18,37,FALSE,,
100141,Credit Reporting,Identity Theft,,Ny,Philadelphia,27040.0,Resolved,2023-01-03,2023-01-09,6,FALSE,,In progress
100142,Credit Card,Billing Disputes,Nan,,Charlotte,70160.0,Closed,2024-04-13,2024-05-07,24,Yes,N,
100143,Mortgage,Incorrect Information,Northstar Finance,Fl,Atlanta,98480.0,,2024-04-18,2024-06-11,54,N,,
100144,,Collection Harassment,Nan,Ca,Nan,,Resolved,2023-05-01,2023-05-21,20,,FALSE,Closed
100145,Debt Collection,Other,,Nan,Los Angeles,,Open,2023-01-16,2023-01-22,6,,No,
100146,Student Loan,Fees,Acme Bank,Tx,Charlotte,20257.0,,2023-03-03,2023-04-23,51,No,Yes,
100147,Credit Card,Nan,Nan,Oh,Atlanta,,Open,2024-02-20,2024-04-18,58,,No,
100149,Mortgage,Other,Acme Bank,Nan,Columbus,,In Progress,2024-03-21,2024-05-17,57,,Y,
100150,Bank Account,Identity Theft,Finserv Co,Ny,Miami,91352.0,,2023-03-18,2023-05-08,51,Y,Yes,In progress
100151,Credit  Card,Other,Acme Bank,Ca,Miami,23475.0,,2024-01-09,2024-02-02,24,,TRUE,
100152,Student  Loan,Fees,Finserv Co,Pa,Nan,56722.0,Closed,2023-03-31,2023-04-07,7,,N,
100153,Credit Card,Other,Nan,Oh,Detroit,75328.0,Open,2023-07-03,2023-08-07,35,No,TRUE,
100154,Credit Card,Billing Disputes,Metro Loans,,Houston,,,2023-10-27,2023-11-05,9,Yes,TRUE,Closed
100155,Debt  Collection,Billing Disputes,Northstar Finance,Nc,Columbus,79931.0,,2023-12-26,2024-01-20,25,Yes,Y,Closed with explanation
100156,,Other,United Credit,Tx,,,,2024-03-13,2024-04-19,37,No,TRUE,In progress
100157,Mortgage,Collection Harassment,,,Miami,,Resolved,2023-01-23,2023-03-20,56,FALSE,,
100158,Mortgage,Identity Theft,,Oh,Los Angeles,50314.0,,2023-04-09,2023-04-22,13,N,Y,Closed with explanation
100159,Credit Card,Other,Northstar Finance,,Miami,94588.0,In Progress,2023-05-21,2023-06-01,11,FALSE,Y,
100160,Bank Account,Billing Disputes,Metro Loans,,Los Angeles,,,2023-06-05,2023-07-17,42,Yes,TRUE,In progress
100161,Nan,Collection Harassment,Finserv Co,Ny,Los Angeles,39373.0,Closed,2024-05-14,2024-05-09,-5,TRUE,,Closed
100163,Debt Collection,Billing Disputes,Nan,Pa,Philadelphia,,Closed,2023-06-10,2023-07-23,43,,,
100164,Credit Reporting,Collection Harassment,Northstar Finance,Oh,Philadelphia,98280.0,Closed,2024-04-30,2024-05-30,30,Y,Yes,
100165,Mortgage,Other,,Il,,86290.0,Closed,2023-09-07,2023-09-26,19,TRUE,Yes,
100166,Credit Reporting,Billing Disputes,Northstar Finance,Ga,New York,33322.0,In Progress,2023-09-08,2023-10-26,48,N,N,
100168,Credit  Card,Fees,Metro Loans,Tx,Nan,63379.0,In Progress,2023-03-13,2023-04-23,41,FALSE,Yes,
100169,Mortgage,Nan,United Credit,Il,,91591.0,In Progress,2024-04-12,2024-05-07,25,TRUE,No,
100170,Mortgage,Collection Harassment,Northstar Finance,Tx,Detroit,37022.0,Closed,2023-01-07,2023-01-03,-4,,Y,
100171,Credit Card,Other,Nan,,Nan,99490.0,In Progress,2023-03-29,2023-04-27,29,Yes,,
100172,Bank Account,Collection Harassment,Acme Bank,Mi,Columbus,,,2023-04-25,2023-04-23,-2,No,,Closed with explanation
100173,Mortgage,Identity Theft,Finserv Co,Pa,Detroit,74516.0,In Progress,2023-05-20,2023-07-14,55,TRUE,Y,Closed with explanation
100174,Student Loan,Identity Theft,Acme Bank,Pa,Charlotte,45798.0,Open,2023-03-07,2023-04-10,34,TRUE,,
100175,Debt Collection,Billing Disputes,Finserv Co,Il,New York,40153.0,Resolved,2023-12-05,2023-12-31,26,FALSE,Y,Closed
100176,Debt Collection,Fees,Northstar Finance,Nan,,85895.0,In Progress,2024-04-29,2024-06-03,35,Yes,N,
100178,Credit Card,Incorrect Information,Acme Bank,Ny,,67365.0,Open,2023-03-02,2023-03-13,11,N,,
100179,Student Loan,Collection Harassment,Nan,Tx,Philadelphia,35989.0,Open,2023-05-29,2023-06-11,13,,N,Closed with explanation
100180,Credit Card,Nan,Acme Bank,,Detroit,96483.0,Open,2023-09-11,2023-10-03,22,,Y,In progress
100181,Student Loan,Collection Harassment,Finserv Co,Ga,Detroit,73825.0,,2024-04-08,2024-04-19,11,,,Closed
100182,Credit Reporting,Collection Harassment,Metro Loans,Ny,Charlotte,48576.0,Closed,2023-12-14,2024-01-27,44,N,FALSE,Closed with explanation
100183,Student Loan,Identity Theft,Finserv Co,Oh,Nan,22229.0,In Progress,2024-01-19,2024-01-20,1,Yes,N,
100184,Debt Collection,Incorrect Information,Northstar Finance,Nan,Miami,97598.0,,2023-10-18,2023-12-05,48,No,,Closed
100185,Mortgage,Billing Disputes,Acme Bank,Il,Nan,77948.0,Resolved,2023-07-28,2023-08-14,17,,FALSE,
100186,Credit Reporting,Incorrect Information,Finserv Co,Pa,New York,70101.0,Open,2023-04-10,2023-05-11,31,Y,Y,
100187,Mortgage,Identity Theft,,Nc,Nan,84979.0,,2024-03-08,2024-03-13,5,,N,In progress
100188,Debt  Collection,Billing Disputes,Finserv Co,Nc,Detroit,,Closed,2024-02-07,2024-02-27,20,Yes,Yes,Closed with explanation
100189,Student Loan,Fees,United Credit,Nan,Charlotte,30880.0,,2023-01-13,2023-02-26,44,N,Yes,Closed with explanation
100190,Credit Reporting,Fees,United Credit,Fl,Nan,31339.0,,2023-12-24,2024-01-05,12,,,In progress
100192,Credit Card,Identity Theft,Metro Loans,Tx,Los Angeles,15662.0,Open,2024-01-05,2024-02-02,28,Yes,,
100193,,,Northstar Finance,Mi,,,Resolved,2024-02-17,2024-02-22,5,Y,No,Closed with explanation
100194,Credit Card,Collection Harassment,United Credit,Ga,Los Angeles,,Closed,2023-03-07,2023-03-22,15,Yes,TRUE,Closed with explanation
100195,Bank Account,Nan,Nan,Il,Nan,24752.0,,2023-08-05,2023-08-29,24,TRUE,FALSE,Closed with explanation
100196,Credit Reporting,Billing Disputes,Acme Bank,Mi,Los Angeles,61657.0,,2023-03-03,2023-04-03,31,No,,
100197,Bank Account,Identity Theft,United Credit,Pa,,,,2023-10-11,2023-11-16,36,No,Y,
100198,Credit Reporting,Other,United Credit,Tx,Miami,47296.0,,2024-04-08,2024-05-16,38,TRUE,,
100199,Mortgage,Nan,Acme Bank,Ga,Nan,81165.0,Closed,2023-02-10,2023-03-31,49,Y,N,In progress
100200,Mortgage,Collection Harassment,Acme Bank,Oh,Chicago,83076.0,Open,2023-07-18,2023-07-17,-1,FALSE,,Closed
100201,Mortgage,Incorrect Information,Metro Loans,Pa,Miami,95386.0,Resolved,2024-05-01,2024-05-19,18,,Yes,
100202,Mortgage,Identity Theft,Acme Bank,Oh,Chicago,37951.0,Resolved,2023-05-31,2023-05-26,-5,,Y,Closed with explanation
100203,,Identity Theft,United Credit,Nan,Atlanta,95385.0,,2023-03-08,2023-03-03,-5,FALSE,TRUE,In progress
100204,Debt Collection,Billing Disputes,Metro Loans,Fl,Chicago,,Resolved,2023-09-02,2023-09-10,8,,FALSE,Closed with explanation
100205,Student Loan,Collection Harassment,Finserv Co,Fl,Houston,40475.0,,2023-09-12,2023-10-15,33,FALSE,,In progress
100206,Debt Collection,Incorrect Information,Acme Bank,Ga,Charlotte,39516.0,In Progress,2023-11-28,2024-01-20,53,Yes,Y,
100207,Mortgage,Nan,Metro Loans,Ny,Miami,,Open,2023-06-06,2023-07-21,45,,TRUE,
100208,Credit  Card,Billing Disputes,Acme Bank,Tx,Houston,92878.0,Open,2024-04-22,2024-05-29,37,TRUE,TRUE,
100209,Bank Account,Collection Harassment,Metro Loans,Ga,Charlotte,28297.0,In Progress,2023-09-18,2023-11-02,45,Yes,,
100210,Credit Reporting,Identity Theft,Metro Loans,Ga,New York,34116.0,Open,2023-05-24,2023-05-30,6,TRUE,Yes,In progress
100211,Credit Reporting,Nan,,Mi,Los Angeles,47162.0,Resolved,2024-04-25,2024-06-13,49,No,Yes,
100212,Mortgage,Other,Metro Loans,Ca,Los Angeles,22379.0,In Progress,2024-04-07,2024-05-29,52,TRUE,TRUE,
100213,Debt  Collection,Collection Harassment,,,Los Angeles,82536.0,Closed,2023-09-07,2023-09-08,1,FALSE,Yes,
100214,Student Loan,Fees,Acme Bank,Oh,New York,,Resolved,2023-01-13,2023-02-07,25,Yes,No,Closed with explanation
100215,Bank Account,Other,Nan,Tx,Chicago,,,2023-10-26,2023-12-13,48,N,TRUE,
100216,Credit Card,Identity Theft,Acme Bank,Il,Philadelphia,24656.0,Open,2023-10-05,2023-10-30,25,Yes,Y,Closed with explanation
100217,Bank Account,Other,United Credit,Fl,,11979.0,In Progress,2023-03-16,2023-05-04,49,Yes,Y,Closed
100218,Credit Card,Fees,Northstar Finance,Oh,Chicago,95441.0,,2023-11-13,2024-01-07,55,No,Y,Closed
100219,Nan,Incorrect Information,Acme Bank,Oh,Miami,49220.0,Closed,2024-02-25,2024-03-21,25,,FALSE,Closed with explanation
100220,Bank Account,Identity Theft,Northstar Finance,Oh,Nan,68999.0,,2023-02-22,2023-02-20,-2,N,Y,
100221,Credit Card,Collection Harassment,Finserv Co,Oh,Nan,,In Progress,2023-12-28,2024-01-14,17,Yes,,
100222,Mortgage,Other,,Nan,Miami,30777.0,Closed,2023-03-12,2023-03-20,8,FALSE,No,In progress
100223,Bank Account,Collection Harassment,Acme Bank,,Los Angeles,,,2024-01-10,2024-02-04,25,TRUE,Yes,In progress
100224,Bank Account,Billing Disputes,Finserv Co,Oh,Chicago,28793.0,In Progress,2023-07-29,2023-08-31,33,No,No,
100225,Debt Collection,Incorrect Information,Northstar Finance,,Miami,65163.0,,2023-01-04,2023-01-29,25,TRUE,,
100226,Credit Card,Collection Harassment,Nan,,Nan,93147.0,Resolved,2024-04-28,2024-05-05,7,No,Y,Closed
100227,Student  Loan,Incorrect Information,United Credit,,New York,,,2023-03-24,2023-04-07,14,FALSE,Yes,In progress
100228,Credit Reporting,Collection Harassment,United Credit,Fl,Philadelphia,64706.0,,2023-10-26,2023-12-04,39,,Y,
100230,Student Loan,Billing Disputes,Nan,Il,Detroit,,Resolved,2024-04-11,2024-04-19,8,FALSE,Y,
100231,Nan,Fees,Nan,Ca,Detroit,10694.0,,2024-01-05,2024-02-27,53,Yes,N,
100232,,Identity Theft,Nan,Ca,Miami,,Open,2024-02-07,2024-02-08,1,N,Yes,In progress
100233,Debt  Collection,,,Nc,Nan,,In Progress,2023-08-05,2023-08-26,21,,FALSE,
100234,Credit Card,Incorrect Information,Northstar Finance,Pa,Philadelphia,93284.0,In Progress,2023-08-22,2023-08-30,8,Yes,No,Closed
100235,Credit Reporting,Collection Harassment,United Credit,,Charlotte,,Open,2023-11-14,2023-11-15,1,,Yes,
100236,Mortgage,,Acme Bank,Mi,New York,56803.0,,2024-01-28,2024-02-19,22,Yes,FALSE,
